Molecule,Solubility
A-4,-3.254767
A-5,-2.177078
A-9,-4.662065
A-10,-3.123150
A-11,-3.286116
A-12,-2.664549
A-14,-4.396652
A-15,-4.595503
A-17,-2.282769
A-18,-2.394650
A-21,-3.430239
A-22,-3.544060
A-23,-2.320601
A-24,-2.466031
A-26,-3.411514
A-27,-3.513469
A-28,-4.454382
A-29,-4.287343
A-32,-3.454103
A-34,-3.512942
A-36,-4.292313
A-39,-4.634145
A-45,-0.763034
A-47,-2.563626
A-49,-3.552826
A-50,-4.057185
A-51,-4.793228
A-53,-4.587250
A-54,-4.451139
A-56,-4.581333
A-58,-4.472022
A-61,-1.445032
A-63,-3.893739
A-65,-7.973716
A-69,-3.810963
A-70,-2.593688
A-73,-2.703174
A-74,-1.835797
A-77,-1.779623
A-79,-2.622959
A-80,-3.739816
A-81,-2.826535
A-83,-3.754953
A-86,-2.696000
A-89,-1.647141
A-91,-3.951519
A-94,-5.123169
A-100,-4.952869
A-101,-5.473001
A-106,-3.823043
A-111,-1.004260
A-113,-2.979987
A-114,-3.178447
A-117,-2.952647
A-118,-4.151089
A-119,-0.175874
A-122,-3.988527
A-123,-7.278039
A-125,-1.857977
A-129,-4.021754
A-135,-4.772570
A-139,-4.909505
A-140,-2.759957
A-141,-1.886030
A-142,-3.846497
A-146,-3.088778
A-148,-4.135943
A-153,-0.070053
A-156,-4.170825
A-167,-4.216917
A-168,-4.151911
A-169,-1.189237
A-170,-2.965977
A-171,-3.256981
A-172,-3.328583
A-176,-4.387683
A-178,-3.345108
A-182,-4.425503
A-183,-4.425503
A-188,-5.424548
A-189,-5.676542
A-191,-5.491925
A-192,-5.593123
A-193,-5.365156
A-196,-6.656649
A-198,-5.731545
A-199,-7.555882
A-201,-6.183336
A-203,-6.178797
A-204,-6.403195
A-208,-6.587338
A-209,-6.929013
A-212,-7.252395
A-213,-7.404250
A-215,-2.155833
A-216,-7.638281
A-220,-8.185259
A-225,-2.256645
A-229,-1.138382
A-234,-3.297212
A-236,-1.155886
A-237,-2.205602
A-242,-3.274088
A-243,-3.529299
A-247,-1.175958
A-249,-2.211402
A-252,-3.270686
A-256,-3.122389
A-257,-2.268476
A-262,-2.153696
A-263,-2.404241
A-264,-3.495360
A-266,-3.526423
A-270,-4.536379
A-273,-4.493086
A-276,-4.578403
A-278,-4.283205
A-284,-3.338050
A-285,-0.845917
A-293,-2.595175
A-295,-3.243751
A-296,-0.288093
A-297,-3.302657
A-298,-2.197764
A-301,-3.384193
A-304,-3.339762
A-305,-3.296614
A-310,-3.364225
A-311,-2.302768
A-314,-3.477981
A-319,-2.327318
A-320,-2.365668
A-321,-2.267385
A-322,-2.337666
A-323,-2.250522
A-324,-2.160954
A-326,-1.459377
A-328,-2.400775
A-329,-2.800595
A-331,-3.176796
A-332,-3.525628
A-334,-3.383021
A-338,-4.413922
A-347,-4.672503
A-348,-4.450761
A-349,-4.360608
A-350,-4.787470
A-352,-4.553120
A-356,1.233668
A-359,-2.245532
A-360,-2.418090
A-363,-3.396367
A-364,-3.557960
A-365,-3.301743
A-368,-2.252203
A-369,-2.043101
A-370,-1.469930
A-371,-0.983223
A-372,-3.497558
A-373,-3.533759
A-374,-3.324378
A-377,-2.409651
A-378,-2.286984
A-379,-2.344980
A-381,-2.352215
A-382,-0.137683
A-383,-3.718391
A-384,-0.931219
A-387,-3.435950
A-388,-3.506108
A-389,-3.417246
A-391,-3.677347
A-397,-2.436881
A-400,-3.006984
A-402,-2.364737
A-403,-2.277035
A-409,-1.219959
A-410,-2.691927
A-411,-2.449690
A-412,-2.469378
A-416,-3.533885
A-420,-7.098737
A-421,-4.412762
A-422,-4.489105
A-425,-4.567303
A-427,-4.446204
A-429,-4.420024
A-431,-4.620258
A-432,-4.589886
A-433,-4.469462
A-434,-4.498027
A-435,-4.653605
A-447,-2.351910
A-451,-1.314975
A-454,-2.778562
A-457,-2.245085
A-458,-2.533705
A-461,-3.770982
A-463,-3.459863
A-465,-2.371197
A-466,-2.409129
A-467,-2.762296
A-468,-2.433238
A-469,-3.423291
A-470,-2.349605
A-475,-2.410451
A-476,-1.939465
A-477,0.625274
A-478,-2.025733
A-481,-3.836076
A-482,-3.393260
A-485,-1.280387
A-487,-3.431864
A-488,-2.361048
A-491,-1.424573
A-492,-2.419968
A-494,-1.292396
A-496,-2.340368
A-497,-2.482108
A-498,-2.417174
A-499,-3.496324
A-500,-3.758489
A-503,-3.341907
A-504,0.846685
A-506,-0.603011
A-508,-2.648978
A-511,-3.445216
A-514,-2.977604
A-515,-2.977604
A-516,-2.691382
A-519,-3.465761
A-520,-0.399080
A-521,-2.474007
A-525,-2.494169
A-526,-3.539328
A-533,-4.578730
A-535,-4.623442
A-539,-4.534839
A-542,-4.788985
A-543,-4.544220
A-545,-4.470861
A-551,-4.311226
A-553,-4.554076
A-554,-4.346838
A-555,-4.509709
A-556,-4.702514
A-557,-4.660234
A-558,-4.580254
A-560,-4.613479
A-563,-2.399902
A-564,-1.405751
A-566,-2.411668
A-568,-3.451516
A-569,-3.489216
A-570,-3.394063
A-574,-2.390660
A-575,-2.454900
A-578,-3.591643
A-579,-3.657617
A-581,-3.703093
A-584,-2.478579
A-586,-2.427058
A-587,-2.588668
A-588,-2.206298
A-596,-3.700360
A-597,-3.351339
A-599,-3.434647
A-600,-3.558593
A-601,-2.331842
A-602,-4.676528
A-606,-2.536373
A-614,-3.651081
A-617,0.957840
A-618,-2.392752
A-620,-2.621434
A-622,-1.373368
A-624,-3.560504
A-625,-7.335707
A-626,-2.104914
A-628,-2.813510
A-639,-2.423907
A-640,-3.538304
A-645,-2.494851
A-647,-2.465008
A-648,-2.711387
A-649,-3.548154
A-652,-2.488009
A-655,-2.563130
A-656,-1.580580
A-657,0.577624
A-659,0.612158
A-662,-1.387984
A-665,-2.772789
A-666,-2.454058
A-667,-2.552013
A-668,-2.679886
A-673,-3.721989
A-674,-3.335193
A-675,-5.010486
A-676,-4.780118
A-677,-4.807174
A-679,-4.828522
A-680,-4.606389
A-683,-4.480441
A-689,-4.583092
A-690,-4.701186
A-691,-4.659959
A-692,-4.632800
A-693,-4.598599
A-701,-4.643981
A-705,-2.491877
A-706,-2.657002
A-708,-3.382657
A-709,-3.597416
A-713,-3.544278
A-718,-2.472220
A-719,1.451807
A-722,-3.906401
A-724,-3.554060
A-725,-3.518199
A-726,-3.645701
A-728,-0.459551
A-738,-3.577962
A-742,-1.682279
A-743,-1.416496
A-744,-1.424196
A-746,-1.822256
A-749,-3.669518
A-750,-3.558040
A-752,-1.555640
A-756,-2.599257
A-758,-2.548488
A-761,-3.698734
A-770,-2.588822
A-772,-2.738285
A-773,-2.664780
A-777,-6.497781
A-779,-2.622339
A-780,-6.776311
A-781,-1.838462
A-784,-1.494781
A-787,-1.770093
A-789,-2.560404
A-790,-2.661320
A-791,-2.820460
A-792,-3.675280
A-793,-3.597624
A-794,-3.655045
A-803,-1.382910
A-808,-2.570624
A-811,-3.589641
A-812,-2.643262
A-813,-0.323527
A-818,-3.725904
A-824,-2.687630
A-825,-1.516964
A-826,-1.766206
A-830,-1.686158
A-832,-1.629032
A-833,-1.663024
A-834,-1.690451
A-841,-2.733021
A-842,-3.624481
A-843,-3.900335
A-848,-3.704897
A-851,-3.718504
A-853,-3.697626
A-855,-3.760241
A-857,-4.652929
A-861,-4.730941
A-862,-4.619584
A-863,-4.945017
A-865,-4.635482
A-867,-4.500746
A-868,-4.653202
A-870,-4.471540
A-871,-4.680367
A-874,-4.626749
A-876,-4.820595
A-877,-4.740177
A-883,-4.683590
A-884,-4.734296
A-885,-4.860378
A-886,-4.891656
A-887,-4.701812
A-888,-7.231973
A-889,-4.692832
A-893,-0.586560
A-895,-2.576720
A-896,-2.744685
A-898,-0.439610
A-901,-1.671832
A-906,-3.587759
A-908,-3.958346
A-909,-3.697448
A-914,-2.610552
A-917,-2.722634
A-922,-4.943738
A-924,-1.729317
A-929,-1.485023
A-930,-2.656893
A-932,-2.764701
A-935,-3.651888
A-936,-3.631238
A-939,-2.877473
A-940,-2.672402
A-944,-2.714295
A-950,-3.613250
A-951,-3.937489
A-953,-3.955042
A-954,-3.702452
A-959,-1.792074
A-960,0.884366
A-961,-2.830470
A-967,-2.790217
A-969,-3.567368
A-971,-3.868154
A-972,-3.956082
A-973,-2.672675
A-974,-2.835905
A-976,-2.819337
A-978,-2.768111
A-982,-3.759703
A-986,-2.647537
A-988,-2.691754
A-991,-2.874226
A-993,-0.490652
A-994,-1.696973
A-995,-2.816496
A-996,-3.898656
A-997,-3.727695
A-998,-3.742373
A-999,-3.903732
A-1000,-3.883849
A-1002,-6.451105
A-1003,-3.546243
A-1004,-3.796046
A-1005,-3.791782
A-1006,-3.865800
A-1009,-2.510545
A-1011,-2.820404
A-1013,-2.776433
A-1014,-1.314723
A-1015,-2.694290
A-1016,-2.750682
A-1018,-2.667771
A-1021,-3.919174
A-1022,-3.746151
A-1024,-3.802677
A-1025,-3.095973
A-1027,-4.063530
A-1029,-0.828305
A-1030,-2.858809
A-1032,-2.713251
A-1033,-2.653206
A-1034,-2.732588
A-1038,-2.802625
A-1041,-1.747169
A-1043,-2.877252
A-1050,-3.803181
A-1051,-3.796856
A-1052,-3.769442
A-1053,-3.863275
A-1056,-2.830299
A-1058,-2.706734
A-1059,-2.701095
A-1060,-1.819544
A-1062,-1.445011
A-1065,-2.879922
A-1066,-0.691341
A-1067,-0.468101
A-1068,-0.468101
A-1070,-1.653827
A-1073,-1.745907
A-1076,-2.735418
A-1077,-2.849722
A-1080,-2.637593
A-1085,-3.951281
A-1088,-3.815777
A-1091,-4.713587
A-1092,-5.185849
A-1094,-4.645140
A-1095,-4.632421
A-1096,-4.967338
A-1097,-4.458990
A-1098,-4.777574
A-1099,-4.958733
A-1100,-4.692504
A-1101,-4.692504
A-1105,-4.995754
A-1106,-4.985723
A-1107,-4.820796
A-1110,-5.493585
A-1112,-4.810585
A-1113,-5.010577
A-1114,-5.020638
A-1116,-4.765268
A-1119,-4.936725
A-1120,-4.870866
A-1121,-5.112570
A-1123,-5.070513
A-1125,-5.062270
A-1126,-4.805974
A-1127,-4.680882
A-1128,-4.915650
A-1132,-4.960875
A-1133,-5.006429
A-1134,-5.084664
A-1135,-4.892805
A-1139,-4.886549
A-1141,-2.825873
A-1143,-2.819504
A-1144,-2.734348
A-1145,-2.856925
A-1148,-2.778227
A-1149,-1.730619
A-1153,-3.049542
A-1154,-1.602060
A-1155,-2.825820
A-1156,-2.555270
A-1157,-3.755421
A-1158,-3.861425
A-1160,-4.849542
A-1161,-3.843269
A-1163,-3.725526
A-1165,-3.830500
A-1167,-3.793576
A-1168,-0.647984
A-1170,-1.764202
A-1172,-1.716018
A-1173,-2.979245
A-1174,-2.792725
A-1177,-6.692583
A-1181,-2.749345
A-1185,-1.829745
A-1186,-3.112109
A-1193,-3.842746
A-1196,-3.909307
A-1197,-3.103262
A-1199,-3.935693
A-1203,-1.453407
A-1205,-2.761272
A-1206,-2.796419
A-1209,-1.621665
A-1211,-1.652078
A-1212,-3.760107
A-1214,-3.775546
A-1215,-4.057693
A-1219,-3.062509
A-1222,-3.002155
A-1225,-1.756648
A-1226,-2.329069
A-1227,-0.817681
A-1228,-0.622963
A-1231,-4.843868
A-1232,-4.149259
A-1233,-3.791936
A-1234,-3.845830
A-1235,-1.772080
A-1236,-2.848098
A-1237,-0.899724
A-1239,-2.922620
A-1245,-1.713480
A-1246,-1.753126
A-1247,-3.082409
A-1252,-4.086560
A-1254,-3.808969
A-1255,-4.156443
A-1256,-2.689083
A-1258,-2.919142
A-1263,-2.749354
A-1268,-2.811829
A-1269,-2.785257
A-1270,-2.969025
A-1274,-1.846706
A-1275,-1.796392
A-1276,-1.894461
A-1277,-4.017959
A-1280,-3.806483
A-1286,-3.971688
A-1287,-4.054977
A-1288,-1.710756
A-1289,-2.779325
A-1290,-3.203737
A-1292,-2.983946
A-1293,-2.861114
A-1294,-3.400175
A-1295,-0.872371
A-1298,-1.915326
A-1302,-3.976402
A-1304,-3.882203
A-1305,-3.920759
A-1306,-4.122769
A-1308,-3.758608
A-1311,-3.931170
A-1312,-3.985352
A-1313,-4.043663
A-1315,-2.847330
A-1325,-2.015949
A-1327,-3.179503
A-1328,-2.884635
A-1329,-1.785831
A-1333,-0.748029
A-1334,-0.602800
A-1335,-1.883279
A-1336,-1.758482
A-1337,-3.314476
A-1339,-4.012782
A-1341,-3.933736
A-1343,-3.893568
A-1345,-3.845473
A-1346,-1.706753
A-1347,-6.667295
A-1348,-1.893448
A-1349,-2.998796
A-1350,-2.997666
A-1351,-2.927488
A-1352,-2.902723
A-1354,-3.016846
A-1355,-1.937834
A-1357,-3.045838
A-1360,-1.860061
A-1361,-1.559422
A-1362,-1.811798
A-1363,-2.918005
A-1364,-0.031020
A-1366,-3.893186
A-1370,-3.992248
